,idDrink,strDrink,strTags,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,ingredients_combined
157,12766,Happy Skipper,,Ordinary Drink,,Alcoholic,highball glass,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",Spiced rum,Ginger ale,Lime,Ice,,,,,,,,0.5,5.0,,,,,,,,,,"spiced rum, ginger ale, lime, ice"
158,17239,Hunter's Moon,,Cocktail,,Alcoholic,balloon glass,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",Vermouth,Maraschino Cherry,Sugar Syrup,Lemonade,Blackberries,,,,,,,0.8,0.5,0.33814,3.28,,,,,,,,"vermouth, maraschino cherry, sugar syrup, lemonade, blackberries"
159,178313,Halloween Punch,Halloween,Punch / Party Drink,,Alcoholic,punch bowl,"Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.",Cherry Juice,Orange Peel,Red Chili Flakes,Cloves,Ginger,Vodka,,,,,,25.0,3.0,1.0,,2.0,6.0,,,,,,"cherry juice, orange peel, red chili flakes, cloves, ginger, vodka"
160,11470,Havana Cocktail,,Ordinary Drink,,Alcoholic,cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Light rum,Pineapple juice,Lemon juice,,,,,,,,,1.0,1.0,0.167,,,,,,,,,"light rum, pineapple juice, lemon juice"
161,12954,Holloween Punch,,Punch / Party Drink,,Non alcoholic,punch bowl,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",Grape juice,Carbonated soft drink,Sherbet,Sherbet,,,,,,,,,8.0,,,,,,,,,,"grape juice, carbonated soft drink, sherbet, sherbet"
162,17044,Homemade Kahlua,,Homemade Liqueur,,Alcoholic,collins glass,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",Sugar,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,,,,20.0,8.0,1.5,2.0,24.0,,,,,,,"sugar, corn syrup, coffee, vanilla extract, water, vodka"
163,14782,Hot Creamy Bush,,Coffee / Tea,,Alcoholic,irish coffee cup,Combine all ingredients in glass,Irish whiskey,Baileys irish cream,Coffee,,,,,,,,,1.5,1.125,6.0,,,,,,,,,"irish whiskey, baileys irish cream, coffee"
164,11462,Harvey Wallbanger,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",Vodka,Galliano,Orange juice,,,,,,,,,1.0,0.5,4.0,,,,,,,,,"vodka, galliano, orange juice"
165,11472,Hawaiian Cocktail,,Ordinary Drink,,Alcoholic,cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Gin,Triple sec,Pineapple juice,,,,,,,,,2.0,0.5,0.5,,,,,,,,,"gin, triple sec, pineapple juice"
166,17201,Hemingway Special,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,cocktail glass,Pour all ingredients into a shaker with ice. Shake.,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,,,2.0,0.5,0.5,1.5,,,,,,,,"rum, grapefruit juice, maraschino liqueur, lime juice"
167,11476,Highland Fling Cocktail,,Ordinary Drink,,Alcoholic,cocktail glass,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,Scotch,Sweet Vermouth,Orange bitters,Olive,,,,,,,,1.5,0.75,0.041,1.0,,,,,,,,"scotch, sweet vermouth, orange bitters, olive"
168,12738,Hot Chocolate to Die for,,Cocoa,,Non alcoholic,coffee mug,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",Chocolate,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,,,,12.0,0.17,,8.0,,,,,,,,"chocolate, butter, vanilla extract, halfandhalf, marshmallows"
